X,Y,OBJECTID,FACILITY_SIZE,SPDES_ID,FACILITY_NAME,MOREINFO,FACILITY_NAME_LOWER
370142.7302,4742751.7356,573,Large,NYA00E124,"Green Hill Dairy, Inc.",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"green hill dairy, inc."
260951.6701,4743769.7615,579,Large,NYA00E130,Thornapple Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,thornapple dairy
296295.2371,4717003.8256,582,Large,NYA00E134,Schum-Acres Dairy Ops,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,schum-acres dairy ops
299283.994,4671780.4163,585,Large,NYA00E137,Dunlea Dairy Farm,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,dunlea dairy farm
276479.5117,4750124.2644,586,Medium,NYA00E138,Anderson Farms Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,anderson farms dairy
336892.3015,4764915.5991,587,Medium,NYA00E139,Maple Lawn Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,maple lawn dairy
276291.9254,4699302.1115,589,Large,NYA00E141,Lismore Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,lismore dairy
298334.9558,4710580.6674,592,Large,NYA00E144,Lent Hill Dairy Farm,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,lent hill dairy farm
281471.1363,4694882.2997,596,Large,NYA00E149,Karr Dairy Farms,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,karr dairy farms
304447.7987,4686136.7339,597,Large,NYA00E150,Wilkins Dairy Farm,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,wilkins dairy farm
